Model,Architecture,Activation,LR,Params,Train Acc,Test Acc
MLP v3,32-24-12-6-1,mixed,0.001,3129,1.0,0.9047619104385376
MLP v2,256-128-64-32-1,mixed,0.001,58881,1.0,0.9047619104385376
MLP v4,1000-500-1,mixed,0.001,562001,1.0,0.8809523582458496
MLP v1,256-128-64-32-1,mixed,0.001,58881,1.0,0.8809523582458496
MLP v5,64-128-256-128-64-1,mixed,0.001,86465,1.0,0.8571428656578064
